Year,Species
1996,Caretta caretta
1996,Caretta caretta
1996,Chelonia mydas
1996,Chelonia mydas
1996,Caretta caretta
1996,Caretta caretta
1996,Caretta caretta
1996,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1996,Caretta caretta
1996,Caretta caretta
1996,Caretta caretta
1996,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1996,Chelonia mydas
1996,Chelonia mydas
2000,Caretta caretta
2000,Caretta caretta
1995,Chelonia mydas
1995,Chelonia mydas
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1996,Caretta caretta
1996,Caretta caretta
1996,Chelonia mydas
1996,Chelonia mydas
1999,Caretta caretta
1999,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1996,Caretta caretta
1996,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1996,Caretta caretta
1996,Caretta caretta
1996,Chelonia mydas
1996,Chelonia mydas
1996,Chelonia mydas
1996,Chelonia mydas
1996,Chelonia mydas
1996,Chelonia mydas
1996,Chelonia mydas
1996,Chelonia mydas
1996,Chelonia mydas
1996,Chelonia mydas
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1996,Chelonia mydas
1996,Chelonia mydas
1996,Chelonia mydas
1996,Chelonia mydas
1997,Caretta caretta
1997,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1998,Caretta caretta
1998,Caretta caretta
1998,Caretta caretta
1998,Caretta caretta
1996,Chelonia mydas
1996,Chelonia mydas
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1997,Caretta caretta
1997,Caretta caretta
1997,Caretta caretta
1997,Caretta caretta
1997,Caretta caretta
1997,Caretta caretta
1997,Caretta caretta
1997,Caretta caretta
1996,Caretta caretta
1996,Caretta caretta
1996,Caretta caretta
1996,Caretta caretta
1996,Caretta caretta
1996,Caretta caretta
1998,Lepidochelys kempii
1998,Lepidochelys kempii
1996,Chelonia mydas
1996,Chelonia mydas
1997,Chelonia mydas
1997,Chelonia mydas
1997,Chelonia mydas
1997,Chelonia mydas
1996,Caretta caretta
1996,Caretta caretta
1997,Caretta caretta
1997,Caretta caretta
1997,Caretta caretta
1997,Caretta caretta
1995,Chelonia mydas
1995,Chelonia mydas
1996,Chelonia mydas
1996,Chelonia mydas
1996,Caretta caretta
1996,Caretta caretta
1996,Caretta caretta
1996,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1995,Caretta caretta
1996,Chelonia mydas
1996,Chelonia mydas
1995,Chelonia mydas
1995,Chelonia mydas
1996,Caretta caretta
1996,Caretta caretta
1996,Caretta caretta
1996,Caretta caretta
1996,Caretta caretta
1996,Caretta caretta
1996,Caretta caretta